date,fond,horizon(mois),VL (MAD),1W (%),6M (%),1A (%),2A (%),3A (%),5A (%),Catégorie
11/21/2025,FCP ATTIJARI GOLD,60,2399.98,0.46,22.75,39.1,85.98,100.54,117.95,contractuel
11/21/2025,ATTIJARI ACTIONS,60,917.8,-2.33,2.05,21.76,49.56,61.7,63.1,actions
11/21/2025,ATTIJARI AL MOUCHARAKA,60,1327.94,-1.78,1.73,23.82,55.34,59.42,65.52,actions
11/21/2025,ATTIJARI DIVIDEND FUND,60,1131.11,-2.14,1.99,18.02,40.94,52.28,53.08,actions
11/21/2025,ATTIJARI PATRIMOINE VALEURS,60,119.53,-2.47,1.31,19.2,45.47,55.62,57.25,actions
11/21/2025,FCP ATTIJARI VALEURS ESG,60,176.64,-2.26,1.76,23.74,53.79,77.3,,actions
11/21/2025,ATTIJARI DIVERSIFIE,48,715.36,-1.57,1.21,11.56,27.49,32.53,36.14,diversifié
11/21/2025,ATTIJARI PATRIMOINE DIVERSIFIE,48,5508.99,-1.74,0.43,12.62,32.54,41.03,39.52,diversifié
11/21/2025,WG OBLIGATIONS,24,176.63,-0.26,0.95,4.02,9.87,4.96,5.56,obligataire moyen et long terme
11/21/2025,ATTIJARI PATRIMOINE TAUX,24,3924.66,-0.34,-0.33,2.69,8.61,9.47,8.86,obligataire moyen et long terme
11/21/2025,PATRIMOINE OBLIGATIONS,24,423.11,-0.46,1.01,5.2,12.57,15.46,15.58,obligataire moyen et long terme
11/21/2025,ATTIJARI MINETAIRE PLUS,6,227.77,-0.07,0.94,2.48,5.65,8.67,11.46,obligataire court terme
11/21/2025,FCP CAP INSTITUTIONS,3,675412.39,-0.07,1.17,2.87,6.53,10.22,13.81,obligataire court terme
11/21/2025,OBLIDYNAMIC,6,207,-0.06,1.16,2.98,6.49,9.55,12.46,obligataire court terme
11/21/2025,ATTIJARI MONETAIRE JOUR,0.033,236.96,0.03,0.84,1.89,4.35,6.81,8.99,monétaire
11/21/2025,ATTIJARI TRESORERIE,1,5601.62,0.01,0.9,2.22,5,7.7,10.12,monétaire
11/21/2025,CAP MONETAIRE PREMIERE,1,209881.24,0.01,1.08,2.63,5.95,9.21,12.73,monétaire
11/14/2025,FCP ATTIJARI GOLD,60,2388.91,1.59,27.21,46.3,86.09,97.66,114.62,contractuel
11/14/2025,ATTIJARI ACTIONS,60,939.71,-3.32,6.21,24.76,53.13,67.37,70.32,actions
11/14/2025,ATTIJARI AL MOUCHARAKA,60,1352.03,-2.87,4.61,26.24,57.99,61.78,70.87,actions
11/14/2025,ATTIJARI DIVIDEND FUND,60,1155.82,-3.02,6.13,20.45,43.82,57.43,59.73,actions
11/14/2025,ATTIJARI PATRIMOINE VALEURS,60,122.56,-3.4,5.51,22.3,49.14,61.48,64.24,actions
11/14/2025,FCP ATTIJARI VALEURS ESG,60,180.72,-3.28,5.74,26.52,57.37,81.34,,actions
11/14/2025,ATTIJARI DIVERSIFIE,48,726.77,-1.87,3.89,13.26,29.74,35.37,39.45,diversifié
11/14/2025,ATTIJARI PATRIMOINE DIVERSIFIE,48,5606.3,-2.38,3.24,14.57,35.01,44.13,43.64,diversifié
11/14/2025,WG OBLIGATIONS,24,177.09,-0.26,1.33,4.27,10.3,5.07,5.85,obligataire moyen et long terme
11/14/2025,ATTIJARI PATRIMOINE TAUX,24,3938.04,-0.28,0.17,2.97,9.19,10,9.24,obligataire moyen et long terme
11/14/2025,PATRIMOINE OBLIGATIONS,24,425.06,-0.35,1.69,5.64,13.26,16.17,16.17,obligataire moyen et long terme
11/14/2025,ATTIJARI MONETAIRE PLUS,6,227.93,0.04,1.09,2.56,5.79,8.79,11.48,obligataire court terme
11/14/2025,FCP CAP INSTITUTIONS,3,675861.44,0.05,1.32,2.94,6.67,10.36,13.83,obligataire court terme
11/14/2025,OBLIDYNAMIC,6,207.12,0.03,1.32,3.04,6.63,9.67,12.46,obligataire court terme
11/14/2025,ATTIJARI MONETAIRE JOUR,0.033,236.88,0.03,0.85,1.9,4.37,6.79,8.97,monétaire
11/14/2025,ATTIJARI TRESORERIE,1,5601.06,0.04,0.94,2.23,5.05,7.69,10.1,monétaire
11/14/2025,CAP MONETAIRE PREMIERE,1,209858.49,0.05,1.15,2.65,6,9.2,12.71,monétaire
11/7/2025,FCP ATTIJARI GOLD,60,2351.52,-0.57,20.36,39.06,85.25,94.03,114.6,contractuel
11/7/2025,ATTIJARI ACTIONS,60,971.95,-1.77,9.33,31.05,58.43,79.19,77.46,actions
11/7/2025,ATTIJARI AL MOUCHARAKA,60,"1,392.04",-2.08,7.24,31.79,60.6,70.01,77,actions
11/7/2025,ATTIJARI DIVIDEND FUND,60,"1,191.86",-1.43,8.51,25.53,48.98,68.33,66.44,actions
11/7/2025,ATTIJARI PATRIMOINE VALEURS,60,126.88,-1.64,8.66,28.45,54.68,73.29,71.15,actions
11/7/2025,FCP ATTIJARI VALEURS ESG,60,186.85,-1.62,9.17,33.44,62.95,87.37,,actions
11/7/2025,ATTIJARI DIVERSIFIE,48,740.59,-0.94,5.85,16,32.8,39.53,42.39,diversifié
11/7/2025,ATTIJARI PATRIMOINE DIVERSIFIE,48,"5,743.11",-1.01,5.72,18.11,38.74,50.34,47.75,diversifié
11/7/2025,WG OBLIGATIONS,24,177.56,0.2,1.83,4.64,10.85,4.84,5.97,obligataire moyen et long terme
11/7/2025,ATTIJARI PATRIMOINE TAUX,24,"3,949.04",0.1,0.69,3.41,9.72,9.84,9.31,obligataire moyen et long terme
11/7/2025,PATRIMOINE OBLIGATIONS,24,426.55,0.1,2.21,6.12,13.95,16.05,16.3,obligataire moyen et long terme
11/7/2025,ATTIJARI MINETAIRE PLUS,6,227.84,0.07,1.11,2.58,5.82,8.55,11.47,obligataire court terme
11/7/2025,FCP CAP INSTITUTIONS,3,675530.67,0.08,1.33,2.97,6.72,10.04,13.8,obligataire court terme
11/7/2025,OBLIDYNAMIC,6,207.05,0.1,1.39,3.09,6.68,9.35,12.45,obligataire court terme
11/7/2025,ATTIJARI MONETAIRE JOUR,0.033,236.81,0.03,0.86,1.92,4.39,6.81,8.94,monétaire
11/7/2025,ATTIJARI TRESORERIE,1,5599.1,0.05,0.95,2.25,5.06,7.69,10.08,monétaire
11/7/2025,CAP MONETAIRE PREMIERE,1,209762.52,0.06,1.16,2.67,6.01,9.23,12.68,monétaire
10/31/2025,FCP ATTIJARI GOLD,60,2364.91,-1.75,23.64,37.78,81.17,100.21,110.43,contractuel
10/31/2025,ATTIJARI ACTIONS,60,989.48,1.34,13.13,37.14,60.59,76.99,84.11,actions
10/31/2025,ATTIJARI AL MOUCHARAKA,60,1421.58,1.41,11.14,37.76,63.99,68.62,83,actions
10/31/2025,ATTIJARI DIVIDEND FUND,60,1209.11,1.05,11.69,30.81,50.25,64.36,71.82,actions
10/31/2025,ATTIJARI PATRIMOINE VALEURS,60,128.99,1.38,12.19,34.17,56.52,70.69,77.41,actions
10/31/2025,FCP ATTIJARI VALEURS ESG,60,189.92,0.83,12.58,39.55,65.03,90.36,,actions
10/31/2025,ATTIJARI DIVERSIFIE,48,747.63,0.89,7.61,18.52,33.91,39.3,44.95,diversifié
10/31/2025,ATTIJARI PATRIMOINE DIVERSIFIE,48,5801.69,0.9,8.03,21.4,39.86,48.72,50.51,diversifié
