date,fond,horizon(mois),VL (MAD),1W (%),6M (%),1A (%),2A (%),3A (%),5A (%),Catégorie
11/21/2025,ATTIJARI ACTIONS,60.0,917.8,-2.33,2.05,21.76,49.56,61.7,63.1,actions
11/21/2025,ATTIJARI AL MOUCHARAKA,60.0,1327.94,-1.78,1.73,23.82,55.34,59.42,65.52,actions
11/21/2025,ATTIJARI DIVIDEND FUND,60.0,1131.11,-2.14,1.99,18.02,40.94,52.28,53.08,actions
11/21/2025,ATTIJARI PATRIMOINE VALEURS,60.0,119.53,-2.47,1.31,19.2,45.47,55.62,57.25,actions
11/21/2025,FCP ATTIJARI VALEURS ESG,60.0,176.64,-2.26,1.76,23.74,53.79,77.3,,actions
11/14/2025,ATTIJARI ACTIONS,60.0,939.71,-3.32,6.21,24.76,53.13,67.37,70.32,actions
11/14/2025,ATTIJARI AL MOUCHARAKA,60.0,1352.03,-2.87,4.61,26.24,57.99,61.78,70.87,actions
11/14/2025,ATTIJARI DIVIDEND FUND,60.0,1155.82,-3.02,6.13,20.45,43.82,57.43,59.73,actions
11/14/2025,ATTIJARI PATRIMOINE VALEURS,60.0,122.56,-3.4,5.51,22.3,49.14,61.48,64.24,actions
11/14/2025,FCP ATTIJARI VALEURS ESG,60.0,180.72,-3.28,5.74,26.52,57.37,81.34,,actions
11/7/2025,ATTIJARI ACTIONS,60.0,971.95,-1.77,9.33,31.05,58.43,79.19,77.46,actions
11/7/2025,ATTIJARI AL MOUCHARAKA,60.0,"1,392.04",-2.08,7.24,31.79,60.6,70.01,77.0,actions
11/7/2025,ATTIJARI DIVIDEND FUND,60.0,"1,191.86",-1.43,8.51,25.53,48.98,68.33,66.44,actions
11/7/2025,ATTIJARI PATRIMOINE VALEURS,60.0,126.88,-1.64,8.66,28.45,54.68,73.29,71.15,actions
11/7/2025,FCP ATTIJARI VALEURS ESG,60.0,186.85,-1.62,9.17,33.44,62.95,87.37,,actions
10/31/2025,ATTIJARI ACTIONS,60.0,989.48,1.34,13.13,37.14,60.59,76.99,84.11,actions
10/31/2025,ATTIJARI AL MOUCHARAKA,60.0,1421.58,1.41,11.14,37.76,63.99,68.62,83.0,actions
10/31/2025,ATTIJARI DIVIDEND FUND,60.0,1209.11,1.05,11.69,30.81,50.25,64.36,71.82,actions
10/31/2025,ATTIJARI PATRIMOINE VALEURS,60.0,128.99,1.38,12.19,34.17,56.52,70.69,77.41,actions
10/31/2025,FCP ATTIJARI VALEURS ESG,60.0,189.92,0.83,12.58,39.55,65.03,90.36,,actions
10/24/2025,ATTIJARI ACTIONS,60.0,976.43,4.8,12.97,35.96,58.43,72.74,79.33,actions
10/24/2025,ATTIJARI AL MOUCHARAKA,60.0,1401.75,3.78,10.39,36.42,61.81,64.73,79.35,actions
10/24/2025,ATTIJARI DIVIDEND FUND,60.0,1196.51,4.35,11.48,29.88,48.52,60.72,68.07,actions
10/24/2025,ATTIJARI PATRIMOINE VALEURS,60.0,127.23,4.85,12.12,32.78,54.31,66.84,72.81,actions
10/24/2025,FCP ATTIJARI VALEURS ESG,60.0,188.35,5.04,12.15,38.87,63.61,88.69,,actions
10/17/2025,ATTIJARI ACTIONS,60.0,931.67,-0.38,8.19,30.47,48.04,63.18,72.91,actions
10/17/2025,ATTIJARI AL MOUCHARAKA,60.0,1350.66,-0.64,6.74,32.27,53.32,58.25,75.19,actions
10/17/2025,ATTIJARI DIVIDEND FUND,60.0,1146.61,-0.47,7.24,25.21,39.39,52.41,62.62,actions
10/17/2025,ATTIJARI PATRIMOINE VALEURS,60.0,121.35,-0.32,7.46,27.56,44.16,56.99,66.39,actions
10/17/2025,FCP ATTIJARI VALEURS ESG,60.0,179.31,-0.43,7.09,33.01,52.54,79.56,,actions
10/10/2025,ATTIJARI ACTIONS,60.0,935.25,-1.49,16.89,30.56,47.92,57.51,75.77,actions
10/10/2025,ATTIJARI AL MOUCHARAKA,60.0,1359.33,-1.38,14.84,33.01,53.73,53.2,78.02,actions
10/10/2025,ATTIJARI DIVIDEND FUND,60.0,1152.05,-1.38,15.61,25.1,39.65,46.86,64.95,actions
10/10/2025,ATTIJARI PATRIMOINE VALEURS,60.0,121.74,-1.49,15.63,27.5,43.8,51.76,68.97,actions
10/10/2025,FCP ATTIJARI VALEURS ESG,60.0,180.09,-1.42,14.01,33.61,52.46,80.25,,actions
10/3/2025,ATTIJARI ACTIONS,60.0,949.41,-2.69,10.43,31.86,49.21,56.21,81.12,actions
10/3/2025,ATTIJARI AL MOUCHARAKA,60.0,"1,378.30",-2.54,9.99,33.75,55.91,52.31,81.96,actions
10/3/2025,ATTIJARI DIVIDEND FUND,60.0,"1,168.21",-2.32,9.51,26.39,40.34,45.61,69.3,actions
10/3/2025,ATTIJARI PATRIMOINE VALEURS,60.0,123.58,-3.05,9.31,28.86,44.84,50.62,73.85,actions
10/3/2025,FCP ATTIJARI VALEURS ESG,60.0,182.68,-2.66,9.94,34.8,53.8,82.77,,actions
