date,fond,horizon(mois),VL (MAD),1W (%),6M (%),1A (%),2A (%),3A (%),5A (%),Catégorie
11/21/2025,ATTIJARI DIVERSIFIE,48.0,715.36,-1.57,1.21,11.56,27.49,32.53,36.14,diversifié
11/21/2025,ATTIJARI PATRIMOINE DIVERSIFIE,48.0,5508.99,-1.74,0.43,12.62,32.54,41.03,39.52,diversifié
11/14/2025,ATTIJARI DIVERSIFIE,48.0,726.77,-1.87,3.89,13.26,29.74,35.37,39.45,diversifié
11/14/2025,ATTIJARI PATRIMOINE DIVERSIFIE,48.0,5606.3,-2.38,3.24,14.57,35.01,44.13,43.64,diversifié
11/7/2025,ATTIJARI DIVERSIFIE,48.0,740.59,-0.94,5.85,16.0,32.8,39.53,42.39,diversifié
11/7/2025,ATTIJARI PATRIMOINE DIVERSIFIE,48.0,"5,743.11",-1.01,5.72,18.11,38.74,50.34,47.75,diversifié
10/31/2025,ATTIJARI DIVERSIFIE,48.0,747.63,0.89,7.61,18.52,33.91,39.3,44.95,diversifié
10/31/2025,ATTIJARI PATRIMOINE DIVERSIFIE,48.0,5801.69,0.9,8.03,21.4,39.86,48.72,50.51,diversifié
10/24/2025,ATTIJARI DIVERSIFIE,48.0,741.03,2.3,7.51,17.71,32.87,37.52,42.85,diversifié
10/24/2025,ATTIJARI PATRIMOINE DIVERSIFIE,48.0,5750.17,3.16,7.66,20.5,38.66,46.48,48.33,diversifié
10/17/2025,ATTIJARI DIVERSIFIE,48.0,724.39,-0.26,5.45,15.23,28.87,33.97,40.07,diversifié
10/17/2025,ATTIJARI PATRIMOINE DIVERSIFIE,48.0,5574.3,-0.3,4.75,17.24,32.86,40.76,44.86,diversifié
10/10/2025,ATTIJARI DIVERSIFIE,48.0,726.28,-0.83,9.13,15.62,28.92,32.54,41.13,diversifié
10/10/2025,ATTIJARI PATRIMOINE DIVERSIFIE,48.0,5591.34,-0.97,8.48,17.53,32.95,38.07,46.02,diversifié
10/3/2025,ATTIJARI DIVERSIFIE,48.0,732.35,-1.51,6.32,16.56,29.64,32.5,43.29,diversifié
10/3/2025,ATTIJARI PATRIMOINE DIVERSIFIE,48.0,"5,645.84",-1.79,5.7,18.35,33.75,37.77,48.34,diversifié
