date,fond,horizon(mois),VL (MAD),1W (%),6M (%),1A (%),2A (%),3A (%),5A (%),Catégorie
11/21/2025,ATTIJARI MONETAIRE JOUR,0.033,236.96,0.03,0.84,1.89,4.35,6.81,8.99,monétaire
11/21/2025,ATTIJARI TRESORERIE,1.0,5601.62,0.01,0.9,2.22,5.0,7.7,10.12,monétaire
11/21/2025,CAP MONETAIRE PREMIERE,1.0,209881.24,0.01,1.08,2.63,5.95,9.21,12.73,monétaire
11/14/2025,ATTIJARI MONETAIRE JOUR,0.033,236.88,0.03,0.85,1.9,4.37,6.79,8.97,monétaire
11/14/2025,ATTIJARI TRESORERIE,1.0,5601.06,0.04,0.94,2.23,5.05,7.69,10.1,monétaire
11/14/2025,CAP MONETAIRE PREMIERE,1.0,209858.49,0.05,1.15,2.65,6.0,9.2,12.71,monétaire
11/7/2025,ATTIJARI MONETAIRE JOUR,0.033,236.81,0.03,0.86,1.92,4.39,6.81,8.94,monétaire
11/7/2025,ATTIJARI TRESORERIE,1.0,5599.1,0.05,0.95,2.25,5.06,7.69,10.08,monétaire
11/7/2025,CAP MONETAIRE PREMIERE,1.0,209762.52,0.06,1.16,2.67,6.01,9.23,12.68,monétaire
10/31/2025,ATTIJARI MONETAIRE JOUR,0.033,236.73,0.03,0.86,1.92,4.4,6.8,8.92,monétaire
10/31/2025,ATTIJARI TRESORERIE,1.0,5596.13,0.04,0.94,2.25,5.06,7.59,10.03,monétaire
10/31/2025,CAP MONETAIRE PREMIERE,1.0,209643.17,0.04,1.16,2.67,6.01,9.12,12.64,monétaire
10/24/2025,ATTIJARI MONETAIRE JOUR,0.033,236.65,0.03,0.87,1.94,4.41,6.8,8.9,monétaire
10/24/2025,ATTIJARI TRESORERIE,1.0,5593.92,0.03,0.95,2.26,5.07,7.58,10.02,monétaire
10/24/2025,CAP MONETAIRE PREMIERE,1.0,209552.24,0.04,1.17,2.69,6.02,9.13,12.65,monétaire
10/17/2025,ATTIJARI MONETAIRE JOUR,0.033,236.57,0.03,0.87,1.95,4.43,6.79,8.88,monétaire
10/17/2025,ATTIJARI TRESORERIE,1.0,5592.16,0.03,0.96,2.28,5.1,7.55,10.02,monétaire
10/17/2025,CAP MONETAIRE PREMIERE,1.0,209477.08,0.06,1.18,2.72,6.06,9.1,12.65,monétaire
10/10/2025,ATTIJARI MONETAIRE JOUR,0.033,236.49,0.03,0.87,1.96,4.44,6.79,8.86,monétaire
10/10/2025,ATTIJARI TRESORERIE,1.0,5590.37,0.04,0.97,2.31,5.12,7.56,9.99,monétaire
10/10/2025,CAP MONETAIRE PREMIERE,1.0,209346.87,0.03,1.17,2.73,6.06,9.08,12.61,monétaire
10/3/2025,ATTIJARI MONETAIRE JOUR,0.033,236.41,0.03,0.87,1.97,4.45,6.78,8.84,monétaire
10/3/2025,ATTIJARI TRESORERIE,1.0,"5,588.27",0.02,0.97,2.3,5.13,7.54,9.98,monétaire
10/3/2025,CAP MONETAIRE PREMIERE,1.0,"209,274.57",0.04,1.18,2.74,6.08,9.09,12.61,monétaire
