date,fond,horizon(mois),VL (MAD),1W (%),6M (%),1A (%),2A (%),3A (%),5A (%),Catégorie
11/21/2025,ATTIJARI MINETAIRE PLUS,6.0,227.77,-0.07,0.94,2.48,5.65,8.67,11.46,obligataire court terme
11/21/2025,FCP CAP INSTITUTIONS,3.0,675412.39,-0.07,1.17,2.87,6.53,10.22,13.81,obligataire court terme
11/21/2025,OBLIDYNAMIC,6.0,207,-0.06,1.16,2.98,6.49,9.55,12.46,obligataire court terme
11/14/2025,ATTIJARI MONETAIRE PLUS,6.0,227.93,0.04,1.09,2.56,5.79,8.79,11.48,obligataire court terme
11/14/2025,FCP CAP INSTITUTIONS,3.0,675861.44,0.05,1.32,2.94,6.67,10.36,13.83,obligataire court terme
11/14/2025,OBLIDYNAMIC,6.0,207.12,0.03,1.32,3.04,6.63,9.67,12.46,obligataire court terme
11/7/2025,ATTIJARI MINETAIRE PLUS,6.0,227.84,0.07,1.11,2.58,5.82,8.55,11.47,obligataire court terme
11/7/2025,FCP CAP INSTITUTIONS,3.0,675530.67,0.08,1.33,2.97,6.72,10.04,13.8,obligataire court terme
11/7/2025,OBLIDYNAMIC,6.0,207.05,0.1,1.39,3.09,6.68,9.35,12.45,obligataire court terme
10/31/2025,ATTIJARI MINETAIRE PLUS,6.0,227.67,0.05,1.06,2.56,5.81,8.45,11.39,obligataire court terme
10/31/2025,FCP CAP INSTITUTIONS,3.0,674998.25,0.06,1.28,2.95,6.72,9.96,13.71,obligataire court terme
10/31/2025,OBLIDYNAMIC,6.0,206.85,0.06,1.35,3.05,6.66,9.21,12.34,obligataire court terme
10/24/2025,ATTIJARI MINETAIRE PLUS,6.0,227.55,0.03,1.07,2.57,5.81,8.37,11.39,obligataire court terme
10/24/2025,FCP CAP INSTITUTIONS,3.0,674608.34,0.03,1.3,2.96,6.72,9.81,13.7,obligataire court terme
10/24/2025,OBLIDYNAMIC,6.0,206.73,0.02,1.37,3.06,6.66,9.08,12.33,obligataire court terme
10/17/2025,ATTIJARI MINETAIRE PLUS,6.0,227.49,0.04,1.11,2.61,5.88,8.28,11.41,obligataire court terme
10/17/2025,FCP CAP INSTITUTIONS,3.0,674395.94,0.09,1.34,3.0,6.79,9.83,13.72,obligataire court terme
10/17/2025,OBLIDYNAMIC,6.0,206.68,0.02,1.42,3.11,6.75,9.03,12.36,obligataire court terme
10/10/2025,ATTIJARI MINETAIRE PLUS,6.0,227.39,0.0,1.11,2.65,5.9,8.27,11.41,obligataire court terme
10/10/2025,FCP CAP INSTITUTIONS,3.0,673805.91,0.01,1.29,3.0,6.77,9.79,13.65,obligataire court terme
10/10/2025,OBLIDYNAMIC,6.0,206.63,0.02,1.43,3.17,6.8,9.06,12.37,obligataire court terme
10/3/2025,ATTIJARI MINETAIRE PLUS,6.0,227.38,0.05,1.13,2.69,5.93,8.32,11.43,obligataire court terme
10/3/2025,FCP CAP INSTITUTIONS,3.0,"673,764.54",0.08,1.31,3.05,6.81,9.84,13.68,obligataire court terme
10/3/2025,OBLIDYNAMIC,6.0,206.58,0.04,1.45,3.2,6.81,9.06,12.39,obligataire court terme
