Catégorie,fond,nb_dates,score_performance,score_risque,score_raroc,score_global,perf_mean,risk_raw,raroc_raw
actions,ATTIJARI AL MOUCHARAKA,8,1.0,0.6,1.0,0.8800000000000001,40.1450625,3.4573955044378635,11.611359602006486
actions,FCP ATTIJARI VALEURS ESG,8,0.2,0.8,0.8,0.56,32.384,3.407970594272871,9.502429406204152
actions,ATTIJARI ACTIONS,8,0.8,0.0,0.6,0.5,39.9851875,4.428247008350402,9.029574776558274
actions,ATTIJARI DIVIDEND FUND,8,0.4,0.4,0.4,0.4,33.6441875,3.8208958741700867,8.80531388427389
actions,ATTIJARI PATRIMOINE VALEURS,8,0.6,0.19999999999999996,0.2,0.36,36.5595,4.381935205232632,8.3432315356922
contractuel,FCP ATTIJARI GOLD,8,1.0,0.0,1.0,0.7,61.697375,2.8575146762527757,21.591271425879803
diversifié,ATTIJARI DIVERSIFIE,8,0.5,0.5,1.0,0.6499999999999999,21.8480625,2.082439476697258,10.49157141611596
diversifié,ATTIJARI PATRIMOINE DIVERSIFIE,8,1.0,0.0,0.5,0.55,25.0959375,2.620582561153422,9.576472751683813
monétaire,ATTIJARI MONETAIRE JOUR,8,0.3333333333333333,0.6666666666666667,1.0,0.6333333333333333,3.7988125,0.006005577764521624,632.5472779479223
monétaire,ATTIJARI TRESORERIE,8,0.6666666666666666,0.33333333333333337,0.6666666666666666,0.5666666666666667,4.30825,0.009728456051339936,442.8502872823609
monétaire,CAP MONETAIRE PREMIERE,8,1.0,0.0,0.3333333333333333,0.5,5.248375,0.012905563584306287,406.67535044396635
obligataire court terme,ATTIJARI MONETAIRE PLUS,1,0.5,0.75,1.0,0.725,4.932499999999999,0.0,4932499999.999999
obligataire court terme,FCP CAP INSTITUTIONS,8,1.0,0.25,0.75,0.7,5.7571875,0.036061393582928175,159.6496077477134
obligataire court terme,ATTIJARI MINETAIRE PLUS,7,0.25,0.5,0.5,0.4,4.877357142857143,0.031527387942488945,154.7022226215508
obligataire court terme,OBLIDYNAMIC,8,0.75,0.0,0.25,0.37500000000000006,5.4765625,0.03926324844649804,139.4831700688101
obligataire moyen et long terme,PATRIMOINE OBLIGATIONS,8,1.0,0.0,1.0,0.7,9.0676875,0.32109866502147266,28.239567645521205
obligataire moyen et long terme,WG OBLIGATIONS,8,0.3333333333333333,0.6666666666666667,0.6666666666666666,0.5333333333333333,4.9570625,0.2308724814233425,21.470997530621318
obligataire moyen et long terme,ATTIJARI PATRIMOINE TAUX,8,0.6666666666666666,0.33333333333333337,0.3333333333333333,0.4666666666666667,5.5165625,0.30580846450725613,18.03927334336369
